id,bucket,subbucket,source_id,source_mode,source_path,answer,pairing,operator,split_pos,path,prompt_sha1,target_sha1
syn_ne_dp_common_intersection_0001,common_intersection,none,syn_ne_ba_dc_sub_xminusy_0179,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/ba_dc_subtraction/x_y/syn_ne_ba_dc_sub_xminusy_0179.txt,91,BA_DC,~,1616,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0001.txt,e49887c71532328198e39c273efe4b72daaac337,fa114601eb37134e093ad23cce84dd89e1c3f19e
syn_ne_dp_common_intersection_0002,common_intersection,none,syn_ne_ab_cd_mul_len3_0034,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/ab_cd_multiplication/ab_cd_mul/syn_ne_ab_cd_mul_len3_0034.txt,840,BA_DC,^,3524,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0002.txt,95050e3f2f9e85fba9bd565dbfca724c32b762d8,b300bbe96ed1af28036e1af3a1eed60e7729d6c1
syn_ne_dp_common_intersection_0003,common_intersection,none,syn_ne_ab_cd_add_minus1_len3_0004,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/ab_cd_addition/ab_cd_len3/syn_ne_ab_cd_add_minus1_len3_0004.txt,!118,BA_DC,!,774,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0003.txt,570959684c7763d8a4099460b0d330385196afda,402bb562545c05301250a3bd356392fceaa5a78e
syn_ne_dp_common_intersection_0004,common_intersection,none,syn_ne_ab_cd_mul_plus1_len4_0022,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/ab_cd_multiplication/ab_cd_mul_plus1/syn_ne_ab_cd_mul_plus1_len4_0022.txt,2554,BA_DC,^,3456,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0004.txt,4f5125f107e36b37658fa435fbea2e7ab024d5c9,57120a4346718a6d07a9de06aa85b20d2b8f7266
syn_ne_dp_common_intersection_0005,common_intersection,none,syn_ne_mod_ab_cd_xmody_0121,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/modular/syn_ne_mod_ab_cd_xmody_0121.txt,19,BA_DC,%,1053,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0005.txt,4038bde8ecdff9a424925c6fe4557d654d7b208a,cdfaf7b20efe6f334e29d3271c052f84ea88c951
syn_ne_dp_common_intersection_0006,common_intersection,none,syn_ne_ab_cd_add_minus1_len3_0003,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/ab_cd_addition/ab_cd_len3/syn_ne_ab_cd_add_minus1_len3_0003.txt,14,BA_DC,-,5486,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0006.txt,2b1c286ef9577c02d655457f172dc7310e568118,96ff7ab0a4725c0aa6f5cd20fdc4afd3b5c34c38
syn_ne_dp_common_intersection_0007,common_intersection,none,syn_ne_ab_cd_sub_xminusy_mix_0014,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/ab_cd_subtraction/ab_cd_mix/syn_ne_ab_cd_sub_xminusy_mix_0014.txt,17,BA_DC,&,3527,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0007.txt,e8eafa7df6d25b455443eced745068ee4f8034bc,f134f4d3afc652bf0ef248cfd8c7be1ecb26d515
syn_ne_dp_common_intersection_0008,common_intersection,none,syn_ne_ab_cd_sub_xminusy_len2_0030,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/ab_cd_subtraction/ab_cd_len2/syn_ne_ab_cd_sub_xminusy_len2_0030.txt,21,BA_DC,(,2800,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0008.txt,c651c488c2a0edc00036052a8ce1b26e7201488a,1729b5f9b97be37e29cac8668ce87fba6c6f5ab5
syn_ne_dp_common_intersection_0009,common_intersection,none,syn_ne_ab_cd_sub_minmax_len2_0006,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/ab_cd_subtraction/ab_cd_len2/syn_ne_ab_cd_sub_minmax_len2_0006.txt,-35,BA_DC,`,4737,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0009.txt,e6c3bdf10b246b9a35d72244a698c6abeee3879b,90ffbc85ac51687fb2c52447d3366046e4a2748f
syn_ne_dp_common_intersection_0010,common_intersection,none,syn_ne_ab_cd_mul_len4_0011,synthetic,docs/train_ready/numeric_equation_transformation_rules/work_on/synthetic/ab_cd_multiplication/ab_cd_mul/syn_ne_ab_cd_mul_len4_0011.txt,3172,BA_DC,},2225,docs/numeric_equation_decision_point_curriculum/common_intersection/syn_ne_dp_common_intersection_0010.txt,7b4840a372a442f0a0201b6b6f8e5b3ea0e23e7a,4602791fc102daccf6c9ed980eecbe8c2317491c
